,symboling,normalized_losses,make,fuel_type,aspiration,num_of_doors,body_style,drive_wheels,engine_location,wheel_base,length,width,height,curb_weight,engine_type,num-of_cylinders,engine_size,fuel_system,bore,stroke,compression_ratio,horsepower,peak_rpm,city_mpg,highway_mpg,price,price_binned
0,3,41,alfa-romero,gas,std,two,convertible,rwd,front,88.6,0.811148486,2.965975104,26.81334356,2548,dohc,four,130,mpfi,3.47,2.68,9,111,5000,11.19047619,27,13495,low
1,3,41,alfa-romero,gas,std,two,convertible,rwd,front,88.6,0.811148486,2.965975104,26.81334356,2548,dohc,four,130,mpfi,3.47,2.68,9,111,5000,11.19047619,27,16500,low
2,1,41,alfa-romero,gas,std,two,hatchback,rwd,front,94.5,0.822681403,4.365975104,30.41334356,2823,ohcv,six,152,mpfi,2.68,3.47,9,154,5000,12.36842105,26,16500,low
3,2,164,audi,gas,std,four,sedan,fwd,front,99.8,0.848630466,5.065975104,32.31334356,2337,ohc,four,109,mpfi,3.19,3.4,10,102,5500,9.791666667,30,13950,low
4,2,164,audi,gas,std,four,sedan,4wd,front,99.4,0.848630466,5.265975104,32.31334356,2824,ohc,five,136,mpfi,3.19,3.4,8,115,5500,13.05555556,22,17450,low
5,2,41,audi,gas,std,two,sedan,fwd,front,99.8,0.851994234,5.165975104,31.11334356,2507,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500,12.36842105,25,15250,low
6,1,158,audi,gas,std,four,sedan,fwd,front,105.8,0.925997117,10.2659751,33.71334356,2844,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500,12.36842105,25,17710,low
7,1,41,audi,gas,std,four,wagon,fwd,front,105.8,0.925997117,10.2659751,33.71334356,2954,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500,12.36842105,25,18920,mid
8,1,158,audi,gas,turbo,four,sedan,fwd,front,105.8,0.925997117,10.2659751,33.91334356,3086,ohc,five,131,mpfi,3.13,3.4,8.3,140,5500,13.82352941,20,23875,mid
9,0,41,audi,gas,turbo,two,hatchback,4wd,front,99.5,0.856319077,6.765975104,30.01334356,3053,ohc,five,131,mpfi,3.13,3.4,7,160,5500,14.6875,22,16430,low
10,2,192,bmw,gas,std,two,sedan,rwd,front,101.2,0.849591543,3.665975104,32.31334356,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101,5800,10.2173913,29,16430,low
11,0,192,bmw,gas,std,four,sedan,rwd,front,101.2,0.849591543,3.665975104,32.31334356,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101,5800,10.2173913,29,16925,low
12,0,188,bmw,gas,std,two,sedan,rwd,front,101.2,0.849591543,3.665975104,,2710,ohc,six,164,mpfi,3.31,3.19,9,121,4250,11.19047619,28,20970,mid
13,0,188,bmw,gas,std,four,sedan,rwd,front,101.2,0.849591543,3.665975104,,2765,ohc,six,164,mpfi,3.31,3.19,9,121,4250,11.19047619,28,21105,mid
14,1,41,bmw,gas,std,four,sedan,rwd,front,103.5,0.908217203,5.765975104,,3055,ohc,six,164,mpfi,3.31,3.19,9,121,4250,11.75,25,24565,mid
15,0,41,bmw,gas,std,four,sedan,rwd,front,103.5,0.908217203,5.765975104,,3230,ohc,six,209,mpfi,3.62,3.39,8,182,5400,14.6875,22,30760,mid
16,0,41,bmw,gas,std,two,sedan,rwd,front,103.5,0.931283037,6.765975104,,3380,ohc,six,209,mpfi,3.62,3.39,8,182,5400,14.6875,22,41315,high
17,0,41,bmw,gas,std,four,sedan,rwd,front,110,0.946660259,9.765975104,34.31334356,3505,ohc,six,209,mpfi,3.62,3.39,8,182,5400,15.66666667,20,36880,high
18,2,121,chevrolet,gas,std,two,hatchback,fwd,front,88.4,0.678039404,-0.834024896,31.21334356,1488,l,three,61,2bbl,2.91,3.03,9.5,48,5100,5,53,5151,low
19,1,98,chevrolet,gas,std,two,hatchback,fwd,front,94.5,0.749159058,2.465975104,30.01334356,1874,ohc,four,90,2bbl,3.03,3.11,9.6,70,5400,6.184210526,43,6295,low
20,0,81,chevrolet,gas,std,four,sedan,fwd,front,94.5,0.763094666,2.465975104,30.01334356,1909,ohc,four,90,2bbl,3.03,3.11,9.6,70,5400,6.184210526,43,6575,low
21,1,118,dodge,gas,std,two,hatchback,fwd,front,93.7,0.755886593,2.665975104,28.81334356,1876,ohc,four,90,2bbl,2.97,3.23,9.41,68,5500,6.351351351,41,5572,low
22,1,118,dodge,gas,std,two,hatchback,fwd,front,93.7,0.755886593,2.665975104,28.81334356,1876,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,7.580645161,38,6377,low
23,1,118,dodge,gas,turbo,two,hatchback,fwd,front,93.7,0.755886593,2.665975104,28.81334356,2128,ohc,four,98,mpfi,3.03,3.39,7.6,102,5500,9.791666667,30,7957,low
24,1,148,dodge,gas,std,four,hatchback,fwd,front,93.7,0.755886593,2.665975104,28.61334356,1967,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,7.580645161,38,6229,low
25,1,148,dodge,gas,std,four,sedan,fwd,front,93.7,0.755886593,2.665975104,28.61334356,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,7.580645161,38,6692,low
26,1,148,dodge,gas,std,four,sedan,fwd,front,93.7,0.755886593,2.665975104,28.61334356,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,7.580645161,38,7609,low
27,1,148,dodge,gas,turbo,four,sedan,fwd,front,93.7,0.755886593,2.665975104,28.61334356,2191,ohc,four,98,mpfi,3.03,3.39,7.6,102,5500,9.791666667,30,8558,low
28,-1,110,dodge,gas,std,four,wagon,fwd,front,103.3,0.839019702,3.465975104,37.81334356,2535,ohc,four,122,2bbl,3.34,3.46,8.5,88,5000,9.791666667,30,8921,low
29,3,145,dodge,gas,turbo,two,hatchback,fwd,front,95.9,0.832292167,5.165975104,28.21334356,2811,ohc,four,156,mfi,3.6,3.9,7,145,5000,12.36842105,24,12964,low
30,2,137,honda,gas,std,two,hatchback,fwd,front,86.6,0.694858241,2.765975104,28.81334356,1713,ohc,four,92,1bbl,2.91,3.41,9.6,58,4800,4.795918367,54,6479,low
31,2,137,honda,gas,std,two,hatchback,fwd,front,86.6,0.694858241,2.765975104,28.81334356,1819,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,7.580645161,38,6855,low
32,1,101,honda,gas,std,two,hatchback,fwd,front,93.7,0.720807304,2.865975104,30.61334356,1837,ohc,four,79,1bbl,2.91,3.07,10.1,60,5500,6.184210526,42,5399,low
33,1,101,honda,gas,std,two,hatchback,fwd,front,93.7,0.720807304,2.865975104,30.61334356,1940,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,7.833333333,34,6529,low
34,1,101,honda,gas,std,two,hatchback,fwd,front,93.7,0.720807304,2.865975104,30.61334356,1956,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,7.833333333,34,7129,low
35,0,110,honda,gas,std,four,sedan,fwd,front,96.5,0.785199423,2.865975104,32.51334356,2010,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,7.833333333,34,7295,low
36,0,78,honda,gas,std,four,wagon,fwd,front,96.5,0.754925517,2.765975104,36.31334356,2024,ohc,four,92,1bbl,2.92,3.41,9.2,76,6000,7.833333333,34,7295,low
37,0,106,honda,gas,std,two,hatchback,fwd,front,96.5,0.80490149,4.065975104,31.31334356,2236,ohc,four,110,1bbl,3.15,3.58,9,86,5800,8.703703704,33,7895,low
38,0,106,honda,gas,std,two,hatchback,fwd,front,96.5,0.80490149,4.065975104,31.31334356,2289,ohc,four,110,1bbl,3.15,3.58,9,86,5800,8.703703704,33,9095,low
39,0,85,honda,gas,std,four,sedan,fwd,front,96.5,0.842864008,4.065975104,32.11334356,2304,ohc,four,110,1bbl,3.15,3.58,9,86,5800,8.703703704,33,8845,low
40,0,85,honda,gas,std,four,sedan,fwd,front,96.5,0.842864008,1.365975104,32.11334356,2372,ohc,four,110,1bbl,3.15,3.58,9,86,5800,8.703703704,33,10295,low
